307,Sota,Aichi,九段
308,Takahiro,Wakayama,七段
309,Takuya,Kyoto,五段
310,Kazuo,Tokyo,五段
311,Asuto,Kanagawa,五段
312,Yuta,Osaka,五段
313,Kohei,Tochigi,五段
314,Yuta,Takashi,六段
